,Team1,Team1_score,Team2_score,Team2,Date,Round
88,Queen's University Belfast,300,70,Barts and The London School of Medicine and Dentistry,1997-10-29,1R
89,"Magdalene College, Cambridge",215,90,"St Catherine's College, Oxford",1997-11-04,1R
90,"St John's College, Oxford",130,175,London School of Economics,1997-11-11,1R
91,Oxford Brookes University,230,135,University of Warwick,1997-11-18,1R
92,"Murray Edwards College, Cambridge",35,335,University of Nottingham,1997-12-02,1R
93,University of Exeter,140,275,"Jesus College, Cambridge",1997-12-09,2R
94,King's College London,215,230,University of Nottingham,1997-12-16,2R
95,"Newnham College, Cambridge",120,320,University of Edinburgh,1998-01-06,2R
96,"Birkbeck, University of London",215,170,"Robinson College, Cambridge",1998-01-13,2R
97,London School of Economics,245,40,Oxford Brookes University,1998-01-20,2R
98,Cardiff University,275,105,University of Aberdeen,1998-01-27,2R
99,"Magdalene College, Cambridge",140,155,Queen's University Belfast,1998-02-03,2R
100,Open University,235,265,"Magdalen College, Oxford",1998-02-24,2R
101,"Jesus College, Cambridge",220,250,University of Nottingham,1998-03-04,QF
102,University of Edinburgh,205,275,"Birkbeck, University of London",1998-03-11,QF
103,London School of Economics,225,115,Queen's University Belfast,1998-03-18,QF
104,Cardiff University,80,375,"Magdalen College, Oxford",1998-03-25,QF
105,University of Nottingham,205,240,"Birkbeck, University of London",1998-04-07,SF
106,London School of Economics,85,265,"Magdalen College, Oxford",1998-04-14,SF
107,"Birkbeck, University of London",195,225,"Magdalen College, Oxford",1998-04-21,F
108,University of Bristol,245,185,Victoria University of Manchester,1998-09-02,1R
109,"Balliol College, Oxford",195,200,Durham University,1998-09-09,1R
110,Open University,350,145,Lancaster University,1998-09-16,1R
111,"Harris Manchester College, Oxford",185,200,"Selwyn College, Cambridge",1998-09-23,1R
112,"Birkbeck, University of London",300,110,University of Warwick,1998-09-30,1R
113,University of Portsmouth,135,230,De Montfort University,1998-10-07,1R
114,Barts and The London School of Medicine and Dentistry,130,170,"Magdalen College, Oxford",1998-10-14,1R
115,University of Aberdeen,255,145,"Newnham College, Cambridge",1998-10-20,1R
116,"Christ Church, Oxford",150,245,"Trinity College, Cambridge",1998-10-27,1R
117,"St Hilda's College, Oxford",115,215,Bangor University,1998-11-03,1R
118,"Corpus Christi College, Cambridge",145,280,"Oriel College, Oxford",1998-11-10,1R
119,Queen's University Belfast,100,230,University of Sheffield,1998-11-17,1R
120,"Downing College, Cambridge",160,235,University of Glasgow,1998-12-01,1R
121,"City, University of London",200,210,University of Leicester,1998-12-08,1R
122,"Harris Manchester College, Oxford",185,200,Victoria University of Manchester,1998-12-15,HSLP
123,"City, University of London",210,300,"Balliol College, Oxford",1999-01-05,HSLP
124,Open University,210,200,"Magdalen College, Oxford",1999-01-12,2R
125,University of Aberdeen,75,275,Bangor University,1999-01-19,2R
126,De Montfort University,135,255,University of Bristol,1999-01-26,2R
127,"Selwyn College, Cambridge",145,325,University of Leicester,1999-02-09,2R
128,"Oriel College, Oxford",290,170,Victoria University of Manchester,1999-02-16,2R
129,University of Glasgow,140,355,Durham University,1999-02-23,2R
130,"Balliol College, Oxford",205,270,"Birkbeck, University of London",1999-03-03,2R
131,University of Sheffield,190,255,"Trinity College, Cambridge",1999-03-10,2R
132,Bangor University,240,170,University of Bristol,1999-03-17,QF
133,"Oriel College, Oxford",335,160,University of Leicester,1999-03-24,QF
134,Open University,240,235,"Birkbeck, University of London",1999-03-31,QF
135,Durham University,325,175,"Trinity College, Cambridge",1999-04-06,QF
136,Bangor University,130,235,"Oriel College, Oxford",1999-04-13,SF
137,Open University,310,120,Durham University,1999-04-20,SF
138,"Oriel College, Oxford",210,265,Open University,1999-04-27,F
139,Newcastle University,195,185,University of Warwick,1999-09-13,1R
140,Imperial School of Medicine (Ottoman Empire),135,165,"Murray Edwards College, Cambridge",1999-09-20,1R
141,"Fitzwilliam College, Cambridge",205,245,University of Sheffield,1999-09-27,1R
142,Cranfield University,110,280,University of Nottingham,1999-10-04,1R
143,University of Salford,250,145,Royal Academy of Music,1999-10-11,1R
144,"Trinity College, Cambridge",150,165,"Keble College, Oxford",1999-10-18,1R
145,Aberystwyth University,230,140,University of Glasgow,1999-10-25,1R
146,"St Catharine's College, Cambridge",90,250,"Oriel College, Oxford",1999-11-01,1R
147,Royal Veterinary College,135,150,"Jesus College, Cambridge",1999-11-08,1R
148,University of Edinburgh,125,185,"Peterhouse, Cambridge",1999-11-15,1R
149,GKT School of Medical Education,205,110,"St Hilda's College, Oxford",1999-11-22,1R
150,"Christ Church, Oxford",255,150,University of Leeds,1999-11-29,1R
151,University of Manchester Institute of Science and Technology,190,165,University College London,1999-12-06,1R
152,University of North London,205,175,Durham University,1999-12-13,1R
153,"Fitzwilliam College, Cambridge",215,230,Durham University,2000-01-17,HSLP
154,University of Warwick,115,245,University College London,2000-01-24,HSLP
155,University of Nottingham,215,155,University of North London,2000-01-31,2R
156,"Oriel College, Oxford",225,170,"Peterhouse, Cambridge",2000-02-07,2R
157,Newcastle University,180,150,"Jesus College, Cambridge",2000-02-14,2R
158,University of Sheffield,90,245,"Keble College, Oxford",2000-02-21,2R
159,"Murray Edwards College, Cambridge",155,200,Aberystwyth University,2000-02-28,2R
160,GKT School of Medical Education,125,360,Durham University,2000-03-06,2R
161,University of Salford,135,245,University of Manchester Institute of Science and Technology,2000-03-13,2R
162,"Christ Church, Oxford",200,170,University College London,2000-03-20,2R
163,University of Nottingham,175,200,"Oriel College, Oxford",2000-03-27,QF
164,Newcastle University,120,210,"Keble College, Oxford",2000-04-04,QF
165,Aberystwyth University,160,340,Durham University,2000-04-11,QF
166,University of Manchester Institute of Science and Technology,205,190,"Christ Church, Oxford",2000-04-18,QF
167,"Oriel College, Oxford",220,120,"Keble College, Oxford",2000-04-25,SF
168,Durham University,250,180,University of Manchester Institute of Science and Technology,2000-05-02,SF
169,"Oriel College, Oxford",135,325,Durham University,2000-05-09,F
170,University of Hull,225,205,University of Edinburgh,2000-09-04,1R
171,"Wycliffe Hall, Oxford",180,215,University of Sheffield,2000-09-11,1R
172,University of Birmingham,115,325,Durham University,2000-09-18,1R
173,"Magdalene College, Cambridge",85,335,"University College, Oxford",2000-09-19,1R
174,University College London,265,150,"New College, Oxford",2000-09-25,1R
175,Sheffield Hallam University,265,170,University of Bristol,2000-09-26,1R
176,University of Southampton,120,240,"Newnham College, Cambridge",2000-10-02,1R
177,University of Aberdeen,145,210,University of York,2000-10-09,1R
178,"St John's College, Oxford",195,255,"Birkbeck, University of London",2000-10-16,1R
179,University of Manchester,240,125,"Sidney Sussex College, Cambridge",2000-10-23,1R
180,University of Manchester Institute of Science and Technology,110,315,"Balliol College, Oxford",2000-10-30,1R
181,"Queens' College, Cambridge",170,145,Cardiff University,2000-11-06,1R
182,Cranfield University,80,255,Imperial College London,2000-11-13,1R
183,University of Warwick,200,150,"Peterhouse, Cambridge",2000-11-20,1R
184,"Wycliffe Hall, Oxford",110,220,University of Bristol,2000-11-27,HSLP
185,"St John's College, Oxford",300,145,University of Edinburgh,2000-12-04,HSLP
186,"Birkbeck, University of London",210,220,"University College, Oxford",2000-12-11,2R
187,Sheffield Hallam University,180,135,University of Warwick,2000-12-18,2R
188,"Queens' College, Cambridge",145,170,"St John's College, Oxford",2001-01-08,2R
189,"Newnham College, Cambridge",155,200,University of Bristol,2001-01-15,2R
190,University of York,150,270,"Balliol College, Oxford",2001-01-22,2R
