,Team1,Team1_score,Team2_score,Team2,Date,Round
392,University of Central Lancashire,90,265,University of Sheffield,2007-08-14,1R
393,"Lucy Cavendish College, Cambridge",130,225,University of Warwick,2007-08-21,1R
394,"Worcester College, Oxford",160,130,"Pembroke College, Cambridge",2007-08-28,1R
395,Bangor University,105,130,University of Edinburgh,2007-09-04,1R
396,Durham University,120,255,"St Edmund Hall, Oxford",2007-09-11,1R
397,"Jesus College, Cambridge",140,215,University of Exeter,2007-09-18,1R
398,University of Manchester,260,105,Newcastle University,2007-09-25,1R
399,"St George's, University of London",130,175,University of York,2007-10-01,1R
400,"Christ Church, Oxford",245,65,"Homerton College, Cambridge",2007-10-08,1R
401,Lancaster University,50,315,University of Birmingham,2007-10-15,HSLP
402,University of Liverpool,100,185,"Magdalen College, Oxford",2007-10-22,HSLP
403,SOAS University of London,110,155,University of Exeter,2007-11-12,2R
404,University of York,130,205,University of St Andrews,2007-11-19,2R
405,University of Birmingham,200,210,"Magdalen College, Oxford",2007-11-26,2R
406,University of Leeds,195,230,University of Warwick,2007-12-03,2R
407,University of Manchester,210,170,"St Edmund Hall, Oxford",2007-12-10,2R
408,University of Sheffield,270,135,University of Edinburgh,2007-12-17,2R
409,University of Nottingham,180,350,"Christ Church, Oxford",2008-01-07,2R
410,"Trinity Hall, Cambridge",220,50,"Worcester College, Oxford",2008-01-14,2R
411,University of Manchester,195,150,"Trinity Hall, Cambridge",2008-01-21,QF
412,"Christ Church, Oxford",255,170,University of Warwick,2008-01-28,QF
413,University of St Andrews,115,180,"Magdalen College, Oxford",2008-02-04,QF
414,University of Sheffield,305,155,University of Exeter,2008-02-11,QF
415,University of Manchester,170,220,"Christ Church, Oxford",2008-02-18,SF
416,"Magdalen College, Oxford",165,275,University of Sheffield,2008-02-25,SF
417,"Christ Church, Oxford",220,170,University of Sheffield,2008-03-03,F
418,University of Hull,140,230,"City, University of London",2008-07-07,1R
419,"Corpus Christi College, Oxford",330,95,Durham University,2008-07-14,1R
420,Royal Veterinary College,95,215,University of York,2008-07-21,1R
421,University of Surrey,170,185,University of Warwick,2008-07-28,1R
422,"Queens' College, Cambridge",205,115,"St George's, University of London",2008-08-04,1R
423,University of Exeter,195,150,"Pembroke College, Oxford",2008-08-11,1R
424,"Selwyn College, Cambridge",180,115,"St Anne's College, Oxford",2008-08-18,1R
425,London School of Economics,220,85,University of Bath,2008-08-25,1R
426,"St John's College, Cambridge",185,220,"Lincoln College, Oxford",2008-09-01,1R
427,"Murray Edwards College, Cambridge",65,260,University of Sheffield,2008-09-08,1R
428,University of Southampton,135,190,University of Brighton,2008-09-15,1R
429,"King's College, Cambridge",180,190,University of Edinburgh,2008-09-22,1R
430,University of Bristol,70,285,University of Manchester,2008-09-29,1R
431,"Exeter College, Oxford",135,190,University of St Andrews,2008-10-06,1R
432,"St John's College, Cambridge",325,110,"Pembroke College, Oxford",2008-10-13,HSLP
433,"King's College, Cambridge",225,150,University of Surrey,2008-10-20,HSLP
434,London School of Economics,270,135,"Selwyn College, Cambridge",2008-11-10,2R
435,University of Manchester,280,80,University of York,2008-11-17,2R
436,"St John's College, Cambridge",345,125,"King's College, Cambridge",2008-11-24,2R
437,"Corpus Christi College, Oxford",295,85,University of Edinburgh,2008-12-01,2R
438,"Queens' College, Cambridge",205,125,University of Warwick,2008-12-08,2R
439,"Lincoln College, Oxford",280,120,University of St Andrews,2008-12-15,2R
440,"City, University of London",185,115,University of Brighton,2008-12-22,2R
441,University of Sheffield,170,175,University of Exeter,2009-01-05,2R
442,University of Manchester,210,165,London School of Economics,2009-01-12,QF
443,"Lincoln College, Oxford",335,50,"Queens' College, Cambridge",2009-01-19,QF
444,"Corpus Christi College, Oxford",350,15,University of Exeter,2009-01-26,QF
445,"St John's College, Cambridge",265,135,"City, University of London",2009-02-02,QF
446,University of Manchester,345,30,"Lincoln College, Oxford",2009-02-09,SF
447,"Corpus Christi College, Oxford",260,150,"St John's College, Cambridge",2009-02-16,SF
448,University of Manchester,190,275,"Corpus Christi College, Oxford",2009-02-23,F
449,"Christ's College, Cambridge",170,200,University of Warwick,2009-07-06,1R
450,Royal Veterinary College,60,235,University of Manchester,2009-07-13,1R
451,Loughborough University,205,175,University College London,2009-07-20,1R
452,"Clare College, Cambridge",165,215,"Jesus College, Oxford",2009-07-27,1R
453,University of Nottingham,145,180,"Girton College, Cambridge",2009-08-03,1R
454,University of Edinburgh,170,155,University of Central Lancashire,2009-08-10,1R
455,King's College London,155,140,Cardiff University,2009-08-24,1R
456,"Newnham College, Cambridge",260,120,University of Sussex,2009-08-31,1R
457,Imperial College London,175,135,University of Southampton,2009-09-07,1R
458,"St John's College, Oxford",270,90,Durham University,2009-09-14,1R
459,"Magdalene College, Cambridge",135,145,"St Hugh's College, Oxford",2009-09-21,1R
460,University of York,55,200,"St George's, University of London",2009-09-28,1R
461,University of St Andrews,255,150,"Somerville College, Oxford",2009-10-05,1R
462,"Emmanuel College, Cambridge",165,205,"Regent's Park College, Oxford",2009-10-12,1R
463,University College London,220,145,"Clare College, Cambridge",2009-10-19,HSLP
464,"Christ's College, Cambridge",105,280,"Emmanuel College, Cambridge",2009-10-26,HSLP
465,"Girton College, Cambridge",170,160,"St George's, University of London",2009-11-02,2R
466,"Newnham College, Cambridge",110,185,University of St Andrews,2009-11-09,2R
467,"St John's College, Oxford",220,190,Loughborough University,2009-11-16,2R
468,University College London,185,260,"Emmanuel College, Cambridge",2009-11-23,2R
469,Imperial College London,280,80,"St Hugh's College, Oxford",2009-11-30,2R
470,"Jesus College, Oxford",200,170,University of Warwick,2009-12-07,2R
471,University of Edinburgh,170,150,"Regent's Park College, Oxford",2009-12-14,2R
472,University of Manchester,210,90,King's College London,2009-12-21,2R
473,"St John's College, Oxford",280,55,"Girton College, Cambridge",2010-01-04,QF
474,University of St Andrews,50,195,University of Manchester,2010-01-11,QF
475,Imperial College London,240,110,University of Edinburgh,2010-01-18,QF
476,"Jesus College, Oxford",125,280,"Emmanuel College, Cambridge",2010-01-25,QF
477,"St John's College, Oxford",150,140,University of Manchester,2010-02-01,QF
478,"Girton College, Cambridge",140,115,University of St Andrews,2010-02-08,QF
479,Imperial College London,160,275,"Emmanuel College, Cambridge",2010-02-15,QF
480,University of Edinburgh,195,185,"Jesus College, Oxford",2010-02-22,QF
481,University of Manchester,170,165,University of Edinburgh,2010-03-01,QF
482,"Girton College, Cambridge",100,200,Imperial College London,2010-03-15,QF
483,"St John's College, Oxford",260,170,Imperial College London,2010-03-22,SF
484,"Emmanuel College, Cambridge",315,120,University of Manchester,2010-03-29,SF
485,"St John's College, Oxford",100,315,"Emmanuel College, Cambridge",2010-04-05,F
486,University of St Andrews,185,190,University of Bristol,2010-07-05,1R
487,Cardiff University,210,220,Oxford Brookes University,2010-07-12,1R
488,"Balliol College, Oxford",155,190,"Queens' College, Cambridge",2010-07-19,1R
489,"Peterhouse, Cambridge",265,165,University of Exeter,2010-07-26,1R
490,University of York,245,105,Royal College of Music,2010-08-02,1R
491,"Newnham College, Cambridge",135,115,University of Southampton,2010-08-09,1R
492,"Christ's College, Cambridge",290,60,University of Liverpool,2010-08-16,1R
493,"Downing College, Cambridge",160,95,"St Edmund Hall, Oxford",2010-08-23,1R
494,Newcastle University,70,315,University of Sheffield,2010-08-30,1R
495,University College London,155,125,"Hertford College, Oxford",2010-09-06,1R
496,Durham University,120,340,"Magdalen College, Oxford",2010-09-13,1R
497,University of Edinburgh,335,35,"Jesus College, Oxford",2010-09-20,1R
498,University of the Arts London,215,95,Imperial College London,2010-09-27,1R
499,"Merton College, Oxford",180,175,"St John's College, Cambridge",2010-10-11,1R
500,Cardiff University,140,225,University of Exeter,2010-10-18,HSLP
501,University of St Andrews,165,225,"St John's College, Cambridge",2010-10-25,HSLP
502,"Christ's College, Cambridge",220,160,University of Edinburgh,2010-11-01,2R
503,Oxford Brookes University,320,100,University of the Arts London,2010-11-08,2R
504,University of Exeter,140,195,University of York,2010-11-15,2R
505,"Peterhouse, Cambridge",215,205,"St John's College, Cambridge",2010-11-22,2R
506,University College London,230,250,University of Sheffield,2010-11-29,2R
507,"Downing College, Cambridge",125,190,"Magdalen College, Oxford",2010-12-06,2R
508,"Merton College, Oxford",120,175,"Queens' College, Cambridge",2010-12-13,2R
509,"Newnham College, Cambridge",70,275,University of Bristol,2010-12-20,2R
510,"Christ's College, Cambridge",160,185,Oxford Brookes University,2011-01-10,QF
511,University of York,120,205,"Peterhouse, Cambridge",2011-01-17,QF
512,University of Sheffield,230,225,"Magdalen College, Oxford",2011-01-24,QF
513,"Queens' College, Cambridge",190,160,University of Bristol,2011-01-31,QF
514,Oxford Brookes University,135,265,University of Sheffield,2011-02-07,QF
515,"Christ's College, Cambridge",120,330,"Magdalen College, Oxford",2011-02-14,QF
516,"Peterhouse, Cambridge",215,160,"Queens' College, Cambridge",2011-02-21,QF
517,University of York,280,140,University of Bristol,2011-02-28,QF
518,"Magdalen College, Oxford",245,195,"Queens' College, Cambridge",2011-03-07,QF
519,Oxford Brookes University,190,195,University of York,2011-03-14,QF
520,University of Sheffield,155,250,University of York,2011-03-21,SF
521,"Peterhouse, Cambridge",130,260,"Magdalen College, Oxford",2011-03-28,SF
522,University of York,85,290,"Magdalen College, Oxford",2011-04-04,F
523,University of Warwick,220,125,University of Edinburgh,2011-07-04,1R
524,"Trinity College, Cambridge",105,225,University of Birmingham,2011-07-11,1R
525,"Worcester College, Oxford",180,190,"Clare College, Cambridge",2011-07-18,1R
526,Queen's University Belfast,85,235,Newcastle University,2011-07-25,1R
527,"Homerton College, Cambridge",200,205,"Balliol College, Oxford",2011-08-01,1R
528,"Christ Church, Oxford",270,105,University of Bath,2011-08-08,1R
529,University of Plymouth,45,325,Durham University,2011-08-15,1R
530,University of St Andrews,165,195,"Merton College, Oxford",2011-08-22,1R
531,University of Manchester,255,70,"Selwyn College, Cambridge",2011-08-29,1R
532,University College London,185,105,University of York,2011-09-05,1R
533,"King's College, Cambridge",95,280,"The Queen's College, Oxford",2011-09-12,1R
534,University of Leeds,220,115,"Goldsmiths, University of London",2011-09-19,1R
535,"St Anne's College, Oxford",140,205,"Pembroke College, Cambridge",2011-09-26,1R
536,London School of Hygiene & Tropical Medicine,155,215,University of Nottingham,2011-10-03,1R
537,London School of Hygiene & Tropical Medicine,115,190,"Homerton College, Cambridge",2011-10-10,HSLP
538,University of St Andrews,110,250,"Worcester College, Oxford",2011-10-17,HSLP
539,University of Leeds,65,320,"Clare College, Cambridge",2011-10-24,2R
540,University of Birmingham,80,220,Newcastle University,2011-10-31,2R
541,Durham University,190,245,"Homerton College, Cambridge",2011-11-07,2R
542,"The Queen's College, Oxford",185,200,"Worcester College, Oxford",2011-11-14,2R
543,"Christ Church, Oxford",155,215,University of Manchester,2011-11-21,2R
544,University College London,220,150,University of Warwick,2011-11-28,2R
545,"Merton College, Oxford",160,170,"Balliol College, Oxford",2011-12-05,2R
546,"Pembroke College, Cambridge",280,125,University of Nottingham,2011-12-12,2R
547,University of Manchester,125,195,University College London,2011-12-19,QF
548,"Balliol College, Oxford",160,240,"Pembroke College, Cambridge",2012-01-02,QF
549,"Worcester College, Oxford",190,150,Newcastle University,2012-01-09,QF
550,"Clare College, Cambridge",170,145,"Homerton College, Cambridge",2012-01-16,QF
551,University College London,120,170,"Worcester College, Oxford",2012-01-23,QF
552,University of Manchester,330,95,Newcastle University,2012-01-30,QF
553,"Pembroke College, Cambridge",250,175,"Clare College, Cambridge",2012-02-06,QF
554,"Balliol College, Oxford",170,145,"Homerton College, Cambridge",2012-02-13,QF
555,University of Manchester,270,250,"Clare College, Cambridge",2012-02-20,QF
556,University College London,235,145,"Balliol College, Oxford",2012-02-27,QF
557,"Worcester College, Oxford",65,240,University of Manchester,2012-03-05,SF
558,"Pembroke College, Cambridge",185,125,University College London,2012-03-12,SF
559,University of Manchester,180,135,"Pembroke College, Cambridge",2012-03-19,F
560,Trinity Laban Conservatoire of Music and Dance,105,185,University of York,2012-07-16,1R
561,"St George's, University of London",175,145,"King's College, Cambridge",2012-07-23,1R
562,"Wadham College, Oxford",105,120,University of Bristol,2012-08-13,1R
563,University of Strathclyde,70,245,Durham University,2012-08-20,1R
564,Queen Mary University of London,120,150,"Jesus College, Oxford",2012-08-27,1R
565,"Magdalen College, Oxford",205,125,"Sidney Sussex College, Cambridge",2012-09-03,1R
566,"Lincoln College, Oxford",175,180,University of Manchester,2012-09-10,1R
567,Imperial College London,225,80,"Jesus College, Cambridge",2012-09-17,1R
568,University of St Andrews,105,125,Bangor University,2012-09-24,1R
569,"Pembroke College, Cambridge",200,140,Lancaster University,2012-10-01,1R
570,University of Bath,125,110,University of Liverpool,2012-10-08,1R
571,University College London,260,85,University of Exeter,2012-10-15,1R
572,"New College, Oxford",230,145,"Homerton College, Cambridge",2012-10-22,1R
573,University of Warwick,175,100,University of Aberdeen,2012-10-29,1R
574,"Lincoln College, Oxford",120,165,Lancaster University,2012-11-05,HSLP
575,"Homerton College, Cambridge",160,205,"King's College, Cambridge",2012-11-12,HSLP
576,"Pembroke College, Cambridge",255,75,University of Bath,2012-11-19,2R
577,University of York,145,215,"New College, Oxford",2012-11-26,2R
578,University of Warwick,160,185,"King's College, Cambridge",2012-12-03,2R
579,"St George's, University of London",230,140,Lancaster University,2012-12-10,2R
580,"Magdalen College, Oxford",90,220,University of Manchester,2013-01-07,2R
581,University of Bristol,115,245,Imperial College London,2013-01-14,2R
582,University College London,215,180,"Jesus College, Oxford",2013-01-21,2R
583,Bangor University,175,165,Durham University,2013-01-28,2R
584,University of Manchester,185,115,Imperial College London,2013-02-04,QF
585,University College London,190,125,Bangor University,2013-02-11,QF
586,"Pembroke College, Cambridge",105,195,"St George's, University of London",2013-02-18,QF
587,"New College, Oxford",165,125,"King's College, Cambridge",2013-02-25,QF
588,University of Manchester,150,230,University College London,2013-03-04,QF
589,Imperial College London,120,210,Bangor University,2013-03-11,QF
590,"St George's, University of London",110,160,"New College, Oxford",2013-03-18,QF
591,"Pembroke College, Cambridge",135,150,"King's College, Cambridge",2013-03-25,QF
592,University of Manchester,220,135,"St George's, University of London",2013-04-01,QF
593,Bangor University,195,70,"King's College, Cambridge",2013-04-08,QF
594,University College London,195,115,"New College, Oxford",2013-04-15,SF
595,University of Manchester,160,95,Bangor University,2013-04-22,SF
596,University College London,140,190,University of Manchester,2013-04-29,F
597,University of Aberdeen,105,140,Queen's University Belfast,2013-07-15,1R
598,"St John's College, Cambridge",120,180,University of Reading,2013-07-22,1R
599,"Trinity College, Cambridge",300,150,"Christ Church, Oxford",2013-07-29,1R
600,Durham University,170,190,"Queens' College, Cambridge",2013-08-05,1R
601,Loughborough University,155,195,"Clare College, Cambridge",2013-08-12,1R
602,SOAS University of London,230,155,University of Southampton,2013-08-19,1R
603,"Brasenose College, Oxford",105,215,University of Manchester,2013-08-26,1R
604,Keele University,40,295,University of Liverpool,2013-09-02,1R
605,"Balliol College, Oxford",145,250,"Peterhouse, Cambridge",2013-09-09,1R
606,University of York,270,70,University of Bath,2013-09-16,1R
607,"Pembroke College, Cambridge",145,255,"Somerville College, Oxford",2013-09-23,1R
608,Cardiff University,145,95,University of Exeter,2013-09-30,1R
609,"St John's College, Oxford",115,260,"Downing College, Cambridge",2013-10-07,1R
610,Aberystwyth University,110,230,Bangor University,2013-10-14,1R
611,Durham University,140,245,"Christ Church, Oxford",2013-10-21,HSLP
612,University of Southampton,185,80,Loughborough University,2013-10-28,HSLP
613,University of York,135,240,"Somerville College, Oxford",2013-11-04,2R
614,"Downing College, Cambridge",135,210,Queen's University Belfast,2013-11-11,2R
615,"Clare College, Cambridge",175,165,"Christ Church, Oxford",2013-11-18,2R
616,Bangor University,60,335,University of Southampton,2013-11-25,2R
617,"Trinity College, Cambridge",240,110,"Peterhouse, Cambridge",2013-12-02,2R
618,University of Manchester,325,110,"Queens' College, Cambridge",2013-12-09,2R
619,University of Liverpool,145,230,Cardiff University,2013-12-16,2R
620,University of Reading,90,240,SOAS University of London,2014-01-06,2R
621,"Trinity College, Cambridge",285,205,University of Manchester,2014-01-13,QF
622,Cardiff University,90,200,SOAS University of London,2014-01-20,QF
623,"Somerville College, Oxford",195,160,"Clare College, Cambridge",2014-01-27,QF
624,Queen's University Belfast,90,290,University of Southampton,2014-02-03,QF
625,"Trinity College, Cambridge",280,105,SOAS University of London,2014-02-10,QF
626,University of Manchester,195,105,Cardiff University,2014-02-17,QF
627,"Somerville College, Oxford",215,95,University of Southampton,2014-02-24,QF
628,"Clare College, Cambridge",105,125,Queen's University Belfast,2014-03-03,QF
629,University of Manchester,200,80,University of Southampton,2014-03-10,QF
630,SOAS University of London,165,145,Queen's University Belfast,2014-03-17,QF
631,"Trinity College, Cambridge",260,175,University of Manchester,2014-03-24,SF
632,"Somerville College, Oxford",190,105,SOAS University of London,2014-03-31,SF
633,"Trinity College, Cambridge",240,135,"Somerville College, Oxford",2014-04-07,F
634,University of Manchester,160,190,"Selwyn College, Cambridge",2014-07-14,1R
635,Oxford Brookes University,130,120,"Jesus College, Oxford",2014-07-21,1R
636,University of Bristol,190,75,Courtauld Institute of Art,2014-07-28,1R
637,"St Anne's College, Oxford",105,305,"Gonville and Caius College, Cambridge",2014-08-11,1R
638,"St Peter's College, Oxford",205,150,University of Sussex,2014-08-18,1R
639,London School of Hygiene & Tropical Medicine,150,140,London School of Economics,2014-08-25,1R
640,University of Liverpool,155,130,University of Sheffield,2014-09-01,1R
641,University of Bath,120,190,University of Glasgow,2014-09-08,1R
642,University of Leicester,245,190,Open University,2014-09-15,1R
643,"Trinity College, Cambridge",150,100,University of St Andrews,2014-09-22,1R
644,University College London,230,140,University of Exeter,2014-09-29,1R
645,"Brasenose College, Oxford",35,250,Durham University,2014-10-06,1R
646,"Corpus Christi College, Cambridge",135,170,University of York,2014-10-13,1R
647,"Magdalen College, Oxford",220,110,"Pembroke College, Cambridge",2014-10-20,1R
648,Open University,180,140,London School of Economics,2014-10-27,HSLP
649,University of Manchester,210,95,University of Sussex,2014-11-03,HSLP
650,University of Leicester,140,220,"Trinity College, Cambridge",2014-11-10,2R
651,Durham University,210,160,University of York,2014-11-17,2R
652,"Magdalen College, Oxford",225,130,Open University,2014-11-24,2R
653,"Gonville and Caius College, Cambridge",200,135,University of Manchester,2014-12-01,2R
654,London School of Hygiene & Tropical Medicine,135,160,University of Bristol,2014-12-08,2R
655,University of Glasgow,105,170,University of Liverpool,2014-12-15,2R
656,"Selwyn College, Cambridge",100,235,"St Peter's College, Oxford",2015-01-05,2R
657,Oxford Brookes University,180,90,University College London,2015-01-12,2R
658,University of Bristol,115,175,University of Liverpool,2015-01-19,QF
659,"St Peter's College, Oxford",240,80,Oxford Brookes University,2015-01-26,QF
660,Durham University,95,275,"Gonville and Caius College, Cambridge",2015-02-02,QF
661,"Magdalen College, Oxford",315,55,"Trinity College, Cambridge",2015-02-09,QF
662,University of Liverpool,100,245,"St Peter's College, Oxford",2015-02-16,QF
663,Oxford Brookes University,85,150,University of Bristol,2015-02-23,QF
664,"Gonville and Caius College, Cambridge",215,155,"Magdalen College, Oxford",2015-03-02,QF
665,Durham University,145,105,"Trinity College, Cambridge",2015-03-09,QF
666,University of Bristol,115,250,"Magdalen College, Oxford",2015-03-16,QF
667,University of Liverpool,100,175,Durham University,2015-03-23,QF
668,"St Peter's College, Oxford",120,235,"Magdalen College, Oxford",2015-03-30,SF
669,"Gonville and Caius College, Cambridge",170,75,Durham University,2015-04-06,SF
670,"Magdalen College, Oxford",105,255,"Gonville and Caius College, Cambridge",2015-04-13,F
671,University of Glasgow,155,185,"Peterhouse, Cambridge",2015-07-13,1R
672,University of Liverpool,205,130,"St Peter's College, Oxford",2015-07-20,1R
673,University of Kent,115,160,Newcastle University,2015-07-27,1R
674,University of Manchester,90,265,University of York,2015-08-03,1R
675,University of Nottingham,135,110,Swansea University,2015-08-10,1R
676,Institute of Cancer Research,70,190,"St George's, University of London",2015-08-17,1R
677,"Christ's College, Cambridge",205,60,"Kellogg College, Oxford",2015-08-24,1R
678,University of Sussex,125,195,Queen's University Belfast,2015-08-31,1R
679,"King's College, Cambridge",60,195,"Sidney Sussex College, Cambridge",2015-09-07,1R
680,University of Reading,110,285,Imperial College London,2015-09-14,1R
681,"St Catharine's College, Cambridge",165,135,University of Southampton,2015-09-21,1R
682,"Clare College, Cambridge",100,195,University of Warwick,2015-09-28,1R
683,Queen Mary University of London,130,165,"Nuffield College, Oxford",2015-10-05,1R
684,"St John's College, Oxford",255,125,University of Bristol,2015-10-12,1R
685,"St Peter's College, Oxford",120,180,University of Glasgow,2015-10-19,HSLP
686,University of Southampton,235,120,Queen Mary University of London,2015-10-26,HSLP
687,"Sidney Sussex College, Cambridge",75,305,Imperial College London,2015-11-02,2R
688,University of Warwick,120,160,"Nuffield College, Oxford",2015-11-09,2R
689,University of Glasgow,135,175,Newcastle University,2015-11-16,2R
690,University of Southampton,155,190,University of Liverpool,2015-11-23,2R
691,"Christ's College, Cambridge",120,225,University of York,2015-11-30,2R
692,"St George's, University of London",90,195,"Peterhouse, Cambridge",2015-12-07,2R
693,University of Nottingham,120,210,"St Catharine's College, Cambridge",2016-01-04,2R
694,"St John's College, Oxford",180,100,Queen's University Belfast,2016-01-11,2R
695,University of York,165,185,"Peterhouse, Cambridge",2016-01-18,QF
696,"St Catharine's College, Cambridge",170,175,"St John's College, Oxford",2016-01-25,QF
697,Imperial College London,190,85,"Nuffield College, Oxford",2016-02-01,QF
698,Newcastle University,150,190,University of Liverpool,2016-02-08,QF
699,"St John's College, Oxford",150,195,"Peterhouse, Cambridge",2016-02-22,QF
700,"St Catharine's College, Cambridge",115,180,University of York,2016-02-29,QF
701,Imperial College London,130,185,University of Liverpool,2016-03-07,QF
702,"Nuffield College, Oxford",115,205,Newcastle University,2016-03-14,QF
703,University of York,260,135,Imperial College London,2016-03-21,QF
704,"St John's College, Oxford",210,120,Newcastle University,2016-03-28,QF
705,"Peterhouse, Cambridge",145,100,University of York,2016-04-04,SF
706,University of Liverpool,95,195,"St John's College, Oxford",2016-04-11,SF
707,"Peterhouse, Cambridge",215,30,"St John's College, Oxford",2016-04-18,F
708,University of Sheffield,130,210,University of Bristol,2016-07-11,1R
709,"Corpus Christi College, Oxford",200,175,"Jesus College, Cambridge",2016-07-18,1R
710,University of Liverpool,95,235,University of Warwick,2016-07-25,1R
711,"Queens' College, Cambridge",150,160,"Peterhouse, Cambridge",2016-08-01,1R
712,"Oriel College, Oxford",150,95,University of Manchester,2016-08-08,1R
713,"Emmanuel College, Cambridge",175,135,University of Nottingham,2016-08-15,1R
714,"Balliol College, Oxford",220,55,Imperial College London,2016-08-22,1R
715,"Robinson College, Cambridge",155,95,"Wadham College, Oxford",2016-08-29,1R
716,Open University,210,115,University of Salford,2016-09-05,1R
717,University of Edinburgh,190,155,Durham University,2016-09-12,1R
718,"Wolfson College, Cambridge",185,175,SOAS University of London,2016-09-19,1R
719,Queen's University Belfast,105,165,University of Birmingham,2016-09-26,1R
720,University of St Andrews,175,145,"Worcester College, Oxford",2016-10-03,1R
721,University of Glasgow,135,150,University of East London,2016-10-10,1R
722,"Jesus College, Cambridge",195,155,"Queens' College, Cambridge",2016-10-17,HSLP
723,Durham University,85,270,SOAS University of London,2016-10-31,HSLP
724,Open University,185,195,University of Edinburgh,2016-11-07,2R
725,University of Birmingham,195,115,University of St Andrews,2016-11-14,2R
726,University of East London,55,195,University of Warwick,2016-11-21,2R
727,SOAS University of London,130,195,"Emmanuel College, Cambridge",2016-11-28,2R
728,"Wolfson College, Cambridge",225,140,"Jesus College, Cambridge",2016-12-05,2R
729,"Robinson College, Cambridge",90,210,"Balliol College, Oxford",2016-12-12,2R
730,University of Bristol,265,70,"Oriel College, Oxford",2017-01-02,2R
731,"Peterhouse, Cambridge",150,175,"Corpus Christi College, Oxford",2017-01-09,2R
732,"Wolfson College, Cambridge",165,135,"Balliol College, Oxford",2017-01-16,QF
733,University of Bristol,70,250,"Corpus Christi College, Oxford",2017-01-23,QF
734,University of Warwick,90,200,"Emmanuel College, Cambridge",2017-01-30,QF
735,University of Edinburgh,220,125,University of Birmingham,2017-02-06,QF
736,"Emmanuel College, Cambridge",170,55,"Corpus Christi College, Oxford",2017-02-13,QF
737,University of Warwick,120,110,University of Bristol,2017-02-20,QF
738,University of Edinburgh,195,160,"Wolfson College, Cambridge",2017-02-27,QF
739,University of Birmingham,65,265,"Balliol College, Oxford",2017-03-06,QF
740,University of Warwick,175,205,"Wolfson College, Cambridge",2017-03-13,QF
741,"Corpus Christi College, Oxford",160,240,"Balliol College, Oxford",2017-03-20,QF
742,"Emmanuel College, Cambridge",140,170,"Wolfson College, Cambridge",2017-03-27,SF
743,University of Edinburgh,140,215,"Balliol College, Oxford",2017-04-03,SF
744,"Wolfson College, Cambridge",140,190,"Balliol College, Oxford",2017-04-10,F
745,University of Edinburgh,165,160,Ulster University,2017-07-17,1R
746,"Trinity College, Cambridge",95,230,University of Bristol,2017-07-24,1R
747,University of Southampton,280,40,Cardiff University,2017-07-31,1R
748,"St Edmund's College, Cambridge",105,185,"Magdalen College, Oxford",2017-08-14,1R
749,University of York,80,240,University of Warwick,2017-08-21,1R
750,Oxford Brookes University,175,85,Courtauld Institute of Art,2017-08-28,1R
751,"Trinity College, Oxford",160,145,University College London,2017-09-04,1R
752,Sheffield Hallam University,40,170,Newcastle University,2017-09-11,1R
753,University of Leicester,105,200,"Fitzwilliam College, Cambridge",2017-09-18,1R
754,Imperial College London,125,145,University of Strathclyde,2017-09-25,1R
755,"Emmanuel College, Cambridge",170,155,"St Hugh's College, Oxford",2017-10-02,1R
756,University of St Andrews,120,255,"St John's College, Cambridge",2017-10-09,1R
757,"Corpus Christi College, Cambridge",225,135,"St Anne's College, Oxford",2017-10-16,1R
758,"Merton College, Oxford",285,110,King's College London,2017-10-23,1R
759,Ulster University,175,90,"St Anne's College, Oxford",2017-10-30,HSLP
760,University College London,315,45,"St Hugh's College, Oxford",2017-11-06,HSLP
761,University of Strathclyde,105,170,"Emmanuel College, Cambridge",2017-11-13,2R
762,"St John's College, Cambridge",285,80,"Corpus Christi College, Cambridge",2017-11-20,2R
763,University of Warwick,140,170,Ulster University,2017-11-27,2R
764,University College London,165,170,University of Edinburgh,2017-12-04,2R
765,University of Bristol,205,100,"Trinity College, Oxford",2017-12-18,2R
766,Newcastle University,215,130,University of Southampton,2018-01-08,2R
767,"Fitzwilliam College, Cambridge",200,155,"Magdalen College, Oxford",2018-01-15,2R
768,Oxford Brookes University,175,255,"Merton College, Oxford",2018-01-22,2R
769,University of Bristol,130,225,Newcastle University,2018-01-29,QF
770,"Fitzwilliam College, Cambridge",125,270,"Merton College, Oxford",2018-02-05,QF
771,"St John's College, Cambridge",185,130,Ulster University,2018-02-12,QF
772,University of Edinburgh,125,110,"Emmanuel College, Cambridge",2018-02-19,QF
773,Newcastle University,135,160,"St John's College, Cambridge",2018-02-26,QF
774,University of Bristol,205,45,Ulster University,2018-03-05,QF
775,"Merton College, Oxford",210,85,University of Edinburgh,2018-03-12,QF
776,"Fitzwilliam College, Cambridge",175,150,"Emmanuel College, Cambridge",2018-03-19,QF
777,University of Bristol,60,195,University of Edinburgh,2018-03-26,QF
778,Newcastle University,205,65,"Fitzwilliam College, Cambridge",2018-04-02,QF
779,"St John's College, Cambridge",270,60,University of Edinburgh,2018-04-09,SF
780,"Merton College, Oxford",215,110,Newcastle University,2018-04-16,SF
781,"St John's College, Cambridge",145,100,"Merton College, Oxford",2018-04-23,F
782,University of Warwick,165,150,University of Exeter,2018-07-16,1R
783,"Emmanuel College, Cambridge",175,200,University of Glasgow,2018-07-23,1R
784,"Pembroke College, Oxford",75,230,"Downing College, Cambridge",2018-07-30,1R
